epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,275.833,0.72847,0.97397,0.48252,0.3628,0.34444,0.2758,0.11167,0.71795,0.91409,0.67541,0.000664889,0.000664889,0.000664889
2,582.579,0.68208,0.78631,0.45542,0.35066,0.32444,0.28429,0.11479,0.64291,1.09495,0.56128,0.00131837,0.00131837,0.00131837
3,847.81,0.70733,0.78393,0.47021,0.33116,0.29556,0.24674,0.09883,0.69902,1.0374,0.65701,0.00195866,0.00195866,0.00195866
4,1089.36,0.73633,0.79417,0.47456,0.18285,0.29778,0.10518,0.04102,nan,nan,nan,0.0019406,0.0019406,0.0019406
5,1361.03,0.73015,0.80613,0.4638,0.34123,0.3,0.25701,0.10005,nan,nan,nan,0.0019208,0.0019208,0.0019208
6,1638.58,0.69865,0.82931,0.46089,0.35934,0.31778,0.25428,0.10529,nan,nan,nan,0.001901,0.001901,0.001901
7,1857.77,0.69516,0.8104,0.45881,0.42652,0.29585,0.29034,0.12448,0.59646,1.00365,0.50783,0.0018812,0.0018812,0.0018812
8,2079.27,0.66536,0.80848,0.44063,0.44807,0.30667,0.3021,0.125,nan,nan,nan,0.0018614,0.0018614,0.0018614
9,2298.75,0.6602,0.78684,0.43128,0.49735,0.41111,0.39145,0.1758,nan,nan,nan,0.0018416,0.0018416,0.0018416
10,2516.75,0.65894,0.79236,0.42642,0.43488,0.37451,0.31985,0.13464,nan,nan,nan,0.0018218,0.0018218,0.0018218
11,2734.35,0.65568,0.79013,0.43152,0.37322,0.35778,0.29287,0.12933,nan,nan,nan,0.001802,0.001802,0.001802
12,2952.57,0.66096,0.78325,0.41834,0.43407,0.40395,0.35726,0.156,0.56614,1.02544,0.49061,0.0017822,0.0017822,0.0017822
13,3168.51,0.6429,0.78372,0.41751,0.38301,0.37778,0.33717,0.14713,0.6251,0.98517,0.58019,0.0017624,0.0017624,0.0017624
14,3384.61,0.63479,0.78688,0.40417,0.54498,0.40889,0.41236,0.19585,nan,nan,nan,0.0017426,0.0017426,0.0017426
15,3600.48,0.62455,0.76808,0.40386,0.53276,0.44889,0.44628,0.19364,0.58885,0.89772,0.53634,0.0017228,0.0017228,0.0017228
16,3817.26,0.63171,0.76371,0.40983,0.55632,0.40889,0.44324,0.19634,nan,nan,nan,0.001703,0.001703,0.001703
17,4034.48,0.60698,0.76486,0.40191,0.50243,0.37474,0.38122,0.16473,0.5862,1.03533,0.53443,0.0016832,0.0016832,0.0016832
18,4250.44,0.603,0.74839,0.3988,0.51292,0.44444,0.43778,0.18565,nan,nan,nan,0.0016634,0.0016634,0.0016634
19,4467.99,0.61942,0.7371,0.4029,0.41865,0.40667,0.34599,0.16063,nan,nan,nan,0.0016436,0.0016436,0.0016436
20,4688.36,0.60683,0.73397,0.40037,0.43357,0.41111,0.35627,0.16225,nan,nan,nan,0.0016238,0.0016238,0.0016238
21,4903.59,0.59538,0.73227,0.39194,0.51705,0.37111,0.38107,0.18018,nan,nan,nan,0.001604,0.001604,0.001604
22,5119.36,0.60759,0.73322,0.38792,0.2988,0.24667,0.16949,0.08008,nan,nan,nan,0.0015842,0.0015842,0.0015842
23,5335.57,0.59461,0.74167,0.38851,0.48751,0.4883,0.45936,0.22329,nan,nan,nan,0.0015644,0.0015644,0.0015644
24,5551.41,0.5979,0.71727,0.38527,0.52994,0.46667,0.47166,0.21607,nan,nan,nan,0.0015446,0.0015446,0.0015446
25,5766.73,0.58614,0.73781,0.38811,0.51383,0.51201,0.5119,0.2322,nan,nan,nan,0.0015248,0.0015248,0.0015248
26,5982.39,0.59116,0.72215,0.37808,0.55115,0.46444,0.47883,0.22174,nan,nan,nan,0.001505,0.001505,0.001505
27,6197.79,0.58888,0.71056,0.37952,0.58734,0.49111,0.50373,0.2361,nan,nan,nan,0.0014852,0.0014852,0.0014852
28,6414.57,0.59119,0.70839,0.38267,0.51925,0.4,0.38216,0.16631,nan,nan,nan,0.0014654,0.0014654,0.0014654
29,6629.76,0.58284,0.7048,0.37825,0.54287,0.47333,0.45748,0.21505,nan,nan,nan,0.0014456,0.0014456,0.0014456
30,6844.59,0.58166,0.70835,0.38114,0.57276,0.46889,0.49794,0.23937,nan,nan,nan,0.0014258,0.0014258,0.0014258
31,7059.95,0.57953,0.68756,0.38237,0.48908,0.48501,0.45032,0.21483,nan,nan,nan,0.001406,0.001406,0.001406
32,7275.19,0.55464,0.694,0.36034,0.50989,0.54,0.4847,0.23837,nan,nan,nan,0.0013862,0.0013862,0.0013862
33,7490.81,0.56087,0.67545,0.37341,0.52992,0.5,0.50769,0.24078,nan,nan,nan,0.0013664,0.0013664,0.0013664
34,7706.53,0.56295,0.67904,0.36698,0.53076,0.50272,0.50009,0.23766,0.59456,0.82616,0.53382,0.0013466,0.0013466,0.0013466
35,7921.64,0.55564,0.68203,0.36295,0.5903,0.51549,0.53979,0.2611,nan,nan,nan,0.0013268,0.0013268,0.0013268
36,8137.23,0.55469,0.66577,0.36058,0.53767,0.53556,0.48942,0.23775,nan,nan,nan,0.001307,0.001307,0.001307
37,8352.23,0.54978,0.67063,0.35704,0.56726,0.54889,0.52796,0.25139,0.57591,0.7788,0.52101,0.0012872,0.0012872,0.0012872
38,8567.5,0.54547,0.65312,0.34877,0.60128,0.52889,0.55287,0.27371,0.58067,0.78808,0.52462,0.0012674,0.0012674,0.0012674
39,8782.51,0.54975,0.65659,0.35947,0.49015,0.41778,0.39924,0.19854,nan,nan,nan,0.0012476,0.0012476,0.0012476
40,8997.24,0.54271,0.68058,0.35932,0.62126,0.54667,0.54173,0.25815,0.59912,0.74408,0.56264,0.0012278,0.0012278,0.0012278
41,9212.77,0.53371,0.65692,0.34822,0.59641,0.49587,0.52582,0.23771,nan,nan,nan,0.001208,0.001208,0.001208
42,9435.77,0.53846,0.64056,0.34801,0.55073,0.54444,0.51907,0.25582,nan,nan,nan,0.0011882,0.0011882,0.0011882
43,9650.54,0.53267,0.64326,0.34048,0.70571,0.54444,0.58651,0.26487,0.59642,0.74905,0.57667,0.0011684,0.0011684,0.0011684
44,9865.49,0.53192,0.63541,0.34778,0.59467,0.54447,0.53064,0.24903,nan,nan,nan,0.0011486,0.0011486,0.0011486
45,10080.7,0.52344,0.64422,0.34099,0.62265,0.5317,0.52533,0.24205,nan,nan,nan,0.0011288,0.0011288,0.0011288
46,10296,0.53377,0.63681,0.35116,0.58263,0.51333,0.53058,0.24678,nan,nan,nan,0.001109,0.001109,0.001109
47,10511.3,0.52177,0.61873,0.34164,0.61428,0.52023,0.53131,0.2551,0.58284,0.76643,0.56225,0.0010892,0.0010892,0.0010892
48,10726.4,0.50737,0.6292,0.33105,0.63272,0.52222,0.54113,0.25636,nan,nan,nan,0.0010694,0.0010694,0.0010694
49,10941.6,0.5051,0.63633,0.3324,0.60488,0.55451,0.57748,0.28317,nan,nan,nan,0.0010496,0.0010496,0.0010496
50,11156.9,0.49134,0.61188,0.31772,0.62227,0.5418,0.56144,0.27173,nan,nan,nan,0.0010298,0.0010298,0.0010298
